,Bike ID,DT Length,HT Length,HT Angle,HT LX,Stack,ST Length,ST Angle,Seatpost LENGTH,Saddle height,Stem length,Stem angle,Headset spacers,Crank length,Handlebar style
0,1,664.021,135.6,73.0,50.0,565.6,588.7,72.5,300.0,768.0,120.0,-10.0,15.0,172.5,0
1,2,572.492,80.0,71.5,23.099999999999998,565.6,265.0,71.49997621217057,100.0,330.0,40.0,0.0,15.0,170.0,1
2,4,573.904,91.80000000000001,70.5,33.9,565.6,460.0,73.5,140.0,600.0,90.0,-20.0,30.0,165.0,0
3,5,636.1790000000001,83.1,72.1,54.300000000000004,565.6,300.0,72.5,250.0,350.0,50.0,0.0,15.0,175.0,1
4,7,688.292,165.0,69.53484,50.0,565.6,535.0,72.03483231392518,400.0,755.0,90.0,6.0,30.0,175.0,1
5,8,703.8689999999999,123.60000000000001,70.0,70.0,565.6,520.0,72.99997971982306,400.0,753.0,110.0,-8.0,20.0,175.0,1
6,9,660.729,150.0,73.0,39.1,565.6,524.4,74.0,180.0,718.0,110.0,-6.0,10.0,0.0,0
7,10,673.902,105.0,72.0,68.1,565.6,457.0,72.99997971982306,300.0,830.0,80.0,0.0,10.0,175.0,1
8,12,673.723,105.39999999999999,71.0,50.0,565.6,457.0,72.99997971982306,300.0,830.0,80.0,0.0,10.0,175.0,1
9,13,658.442,150.2,73.0,50.0,565.6,588.7,72.5,300.0,768.0,120.0,-10.0,15.0,172.5,0
10,14,672.092,167.7,72.5,51.2,565.6,610.0,73.49999998763374,300.0,807.0,117.0,-17.0,10.0,170.0,0
11,15,584.584,49.0,72.0,35.0,565.6,480.0,73.5,140.0,605.0,70.0,-20.0,10.0,170.0,0
12,16,658.2059999999999,136.0,68.0,40.0,565.6,480.0,71.99999647998123,300.0,755.0,90.0,12.0,10.0,175.0,1
13,18,706.265,111.0,70.5,50.9,565.6,482.59999999999997,74.5,330.0,718.0,140.0,0.0,15.0,172.5,1
14,19,669.6560000000001,125.0,75.0,44.2,565.6,690.0,75.0,300.0,724.0,100.0,-10.0,5.0,175.0,0
15,21,650.507,200.0,71.5,43.4,565.6,640.8000000000001,73.0,300.0,712.0,100.0,36.0,25.0,175.0,1
16,24,650.659,126.4,72.0,59.1,565.6,465.0,74.0000202554444,300.0,728.0,90.0,-10.0,25.0,172.5,0
17,25,610.739,90.0,74.0,35.0,565.6,265.0,74.5,100.0,330.0,53.0,-10.0,5.0,165.0,1
18,26,657.667,121.7,74.0,45.6,565.6,530.0,75.0,330.0,724.0,120.0,-13.0,40.0,170.0,1
19,27,644.135,148.60000000000002,73.03453,42.9,565.6,580.0,72.53453,300.0,764.0,100.0,-4.0,20.0,172.5,0
20,28,703.8689999999999,123.60000000000001,70.0,70.0,565.6,520.0,72.99997971982306,400.0,753.0,100.0,-8.0,20.0,175.0,1
21,29,703.8689999999999,123.60000000000001,70.0,70.0,565.6,520.0,72.99997971982306,400.0,753.0,100.0,-8.0,20.0,175.0,1
22,32,623.444,123.8,73.0,44.0,565.6,540.0,74.5,250.0,705.0,100.0,-10.0,15.0,170.0,2
23,33,685.3059999999999,148.60000000000002,74.035,64.5,565.6,580.0,72.535,300.0,764.0,100.0,-4.0,20.0,172.5,0
24,34,514.5659999999999,352.6,74.0,40.800000000000004,565.6,480.1,72.09997761523155,200.0,618.0,100.0,-5.0,10.0,165.0,1
25,35,623.444,123.8,73.0,44.0,565.6,500.0,74.5,250.0,705.0,100.0,-10.0,15.0,170.0,1
26,36,649.3919999999999,145.9,71.5,51.3,565.6,520.0,74.0,330.0,724.0,90.0,12.0,20.0,172.5,0
27,37,643.2090000000001,117.9,74.0,49.4,565.6,615.6,74.0000202554444,300.0,702.0,105.0,-6.0,0.0,165.0,2
28,39,646.2059999999999,175.8,73.0,35.0,565.6,618.7,73.0,300.0,777.0,100.0,-6.0,30.0,170.0,1
29,40,629.37,100.0,72.0,33.2,565.6,530.5999999999999,73.5,280.0,700.0,120.0,-18.0,45.0,170.0,0
30,41,653.639,145.0,73.0,49.9,565.6,515.0,74.0,300.0,718.0,100.0,-5.0,10.0,172.5,0
31,42,629.888,123.60000000000001,73.0,30.0,565.6,570.0,74.0000202554444,300.0,730.0,55.0,0.0,12.0,170.0,1
32,43,704.851,168.0,70.0,52.5,565.6,530.0,72.5,400.0,760.0,100.0,6.0,20.0,175.0,1
33,44,649.318,165.6,73.5,35.0,565.6,588.7,73.5,300.0,777.0,100.0,-6.0,30.0,170.0,0
34,46,615.855,120.3,72.5,46.4,565.6,291.1,74.0,115.0,365.0,45.0,-5.0,7.0,175.0,1
